Country,Site,Time_Period,Absolute_Time,Unique,Culture,Reference,Species,Species_Sum,Percentage,Presence_Absence,Semi_Quantitative_old,Semi_Quantitative
NL,Hoogwoud,MBA-LBA,1800-800,,,van Amerongen 2015,herring (Clupea harengus),herring (Clupea harengus),,0,0,0
NL,Hoogwoud,MBA-LBA,1800-800,,,van Amerongen 2015,herring/sprat (Clupea harengus/Sprattus sprattus),herring/sprat (Clupea harengus/Sprattus sprattus),,0,0,0
NL,Hoogwoud,MBA-LBA,1800-800,,,van Amerongen 2015,whitefishes (Coregonus spec.),whitefishes (Coregonus spec.),,0,0,0
NL,Hoogwoud,MBA-LBA,1800-800,,,van Amerongen 2015,stingray (Dasyatis pastinaca),stingray (Dasyatis pastinaca),,0,0,0
NL,Hoogwoud,MBA-LBA,1800-800,,,van Amerongen 2015,grey gurnard (Eutrigla gurnardus),grey gurnard (Eutrigla gurnardus),,0,0,0
NL,Hoogwoud,MBA-LBA,1800-800,,,van Amerongen 2015,Atlantic cod (Gadus morhua),Atlantic cod (Gadus morhua),,x,?,?
NL,Hoogwoud,MBA-LBA,1800-800,,,van Amerongen 2015,ruffe (Gymnocephalus cernuus),ruffe (Gymnocephalus cernuus),,0,0,0
NL,Hoogwoud,MBA-LBA,1800-800,,,van Amerongen 2015,ide (Leuciscus idus),ide (Leuciscus idus),,0,0,0
NL,Hoogwoud,MBA-LBA,1800-800,,,van Amerongen 2015,Thin-lipped/golden grey mullet (Liza ramada/aurata),Thin-lipped/golden grey mullet (Liza ramada/aurata),,0,0,0
NL,Hoogwoud,MBA-LBA,1800-800,,,van Amerongen 2015,smelt (Osmerus eperlanus),smelt (Osmerus eperlanus),,0,0,0
NL,Hoogwoud,MBA-LBA,1800-800,,,van Amerongen 2015,sea basses (Percichthyidae),sea basses (Percichthyidae),,x,?,?
NL,Hoogwoud,MBA-LBA,1800-800,,,van Amerongen 2015,plaice (Pleuronectus platessa),plaice (Pleuronectus platessa),,x,?,?
NL,Hoogwoud,MBA-LBA,1800-800,,,van Amerongen 2015,sole (Solea solea),sole (Solea solea),,0,0,0
NL,Hoogwoud,MBA-LBA,1800-800,,,van Amerongen 2015,tench (Tinca tinca),tench (Tinca tinca),,0,0,0
